name,priceReg,priceSale,ratingAvg,ratingCnt,category,keywords
Abbott NYC_ Sequoia fragrance,,,,,,
Petite Hailey_ pom-pom leggings,,,,,,
Reyn Spooner Hawaiian Christmas Classic-fit shirt,,,,,,
Erbaviva_ baby sun stick,,,,,,
Joolz_ Day?/Day? summer seat,,,,,,
Joolz_ essentials honeycomb blanket,,,,,,
Joolz_ footmuff,,,,,,
Joolz_ Geo? lower sun hood + mosquito net,,,,,,
Joolz_ Geo? upper sun hood,,,,,,
Erbaviva_ jasmine & grapefruit organic deodorant,,,,,,
Erbaviva_ lip & cheek balm,,,,,,
Erbaviva_ quease ease lip balm,,,,,,
Joolz_ Uni2 upper raincover,,,,,,
Pehr two-piece bib set,,,,,,
Pehr change pad cover,,,,,,
Pehr pillow,,,,,,
Pehr stuffed pillow,,,,,,
Pehr mobile,,,,,,
Pehr pull toy bin,,,,,,
Pehr organic romper,,,,,,
Pehr mini hoop,,,,,,
Pehr hamper,,,,,,
Pehr organic ruffle one-piece,,,,,,
Pehr swaddle,,,,,,
Meri Meri_ rainbow knitted blanket,,,,,,
Cuclie Baby_ dot-collar onesie,,,,,,
Meri Meri_ Ruby doll,,,,,,
Meri Meri_ cat rattle,,,,,,
Meri Meri_ cat baby booties,,,,,,
Meri Meri_ mermaid doll dress up,,,,,,
Meri Meri_ cat backpack doll dress up,,,,,,
Meri Meri_ unicorn baby rattle,,,,,,
Meri Meri_ mermaid tableware bundle,,,,,,
Alpha Industries_ MA-1 flight jacket with PrimaLoft_,,,,,,
Alpha Industries_ B-15 flight jacket in herringbone,,,,,,
Primary_ everybaby snuggle set,,,,,,
Primary_ everybaby zip footie sleep set,,,,,,
Meri Meri_ pale-pink complete baby shower bundle,,,,,,
Paisley Magic grey floral Bella dress,,,,,,
Bocce's Bakery Red Velvet dog treats,,,,,,
DockATot_ mobile toy arch,,,,,,
Lewis_ pajama set,,,,,,
DockATot_ deluxe+ dock,,,,,,
everbloom_ baby heart lap tee,,,,,,
everbloom_ baby Birdie dress,,,,,,
everbloom_ toddler Adeline skirt,,,,,,
Rhone_ Spar tactel sweatpant,,,,,,
Rhone_ Guru pant,,,,,,
Rhone_ Commuter sport polo,,,,,,
Girls' Mini Melissa_ ultragirl princess bb Mary Janes,,,,,,
